name,proportion_male,proportion_female,gender
Jun,0.9491,0.0509,male
June,0.0141,0.9859,female
Jung,0.4809,0.5191,female
Justin,0.9944,0.0056,male
Kadie,0,1,female
Kagan,0.8744,0.1256,male
Kai,0.7891,0.2109,male
Kaitlin,0.0014,0.9986,female
Kaley,0.0024,0.9976,female
Kali,0.0276,0.9724,female
Kameron,0.8407,0.1593,male
Kaplan,1,0,male
Kara,0.0029,0.9971,female
Kareem,0.9819,0.0181,male
Karen,0.0026,0.9974,female
Kari,0.0092,0.9908,female
Karina,0.0052,0.9948,female
Karl,0.9894,0.0106,male
Karley,0,1,female
Karolyn,0,1,female
Karren,0,1,female
Karthik,1,0,male
Karyn,3e-4,0.9997,female
Kate,0.0016,0.9984,female
Katelin,0,1,female
Katelyn,0.0014,0.9986,female
Katharine,4e-4,0.9996,female
Katherine,0.0029,0.9971,female
Katheryn,0,1,female
Kathleen,0.0023,0.9977,female
Kathryn,0.0025,0.9975,female
Kathy,0.0021,0.9979,female
Katie,0.002,0.998,female
Katrina,0.0023,0.9977,female
Katy,3e-4,0.9997,female
Kay,0.0227,0.9773,female
Kaya,0.0691,0.9309,female
Kayla,0.0017,0.9983,female
Kaylee,0.0017,0.9983,female
Kayleen,0,1,female
Kaylyn,0.0039,0.9961,female
Keaton,0.9403,0.0597,male
Kei,0.6582,0.3418,male
Keith,0.9948,0.0052,male
Kellie,0.005,0.995,female
Kelly,0.1369,0.8631,female
Kelsea,0.001,0.999,female
Kelsey,0.0323,0.9677,female
Kelsi,0,1,female
Kelsy,0.0142,0.9858,female
Kendal,0.3896,0.6104,female
Kendra,0.004,0.996,female
Kenneth,0.9957,0.0043,male
Kent,0.9973,0.0027,male
Keri,0.0097,0.9903,female
Kerri,0.0089,0.9911,female
Kerry,0.4883,0.5117,female
Keven,0.9812,0.0188,male
Kevin,0.995,0.005,male
Khanh,0.5722,0.4278,male
Kiki,0.0288,0.9712,female
Kim,0.1546,0.8454,female
Kimary,0,1,female
Kimberley,0.0059,0.9941,female
Kimberly,0.005,0.995,female
Kimya,0,1,female
Kipp,0.9973,0.0027,male
Kira,0.0012,0.9988,female
Kirk,0.9968,0.0032,male
Kirsi,0,1,female
Kirsten,0.0041,0.9959,female
Kirt,1,0,male
Klaus,1,0,male
Kody,0.9665,0.0335,male
Konstantin,1,0,male
Konstantinos,1,0,male
Kris,0.4824,0.5176,female
Kristeen,0,1,female
Kristen,0.0087,0.9913,female
Kristi,0.0017,0.9983,female
Kristie,0.0011,0.9989,female
Kristin,0.0085,0.9915,female
Kristina,0.0026,0.9974,female
Kristine,0.0021,0.9979,female
Kristopher,0.9943,0.0057,male
Kristy,0.0024,0.9976,female
Krystle,0.0032,0.9968,female
Kurt,0.9975,0.0025,male
Kyla,0.0011,0.9989,female
Kyle,0.9807,0.0193,male
Kylee,0.0113,0.9887,female
Kylie,0.0059,0.9941,female
Kym,0.1119,0.8881,female
Kyriakos,1,0,male
Lacey,0.0233,0.9767,female
Lacy,0.1713,0.8287,female
Lan,0.2621,0.7379,female
Lance,0.9962,0.0038,male
Landon,0.989,0.011,male
Lane,0.8808,0.1192,male
Lanell,0.1438,0.8562,female
Lanelle,0,1,female
Larissa,0,1,female
Larry,0.9954,0.0046,male
Laura,0.0031,0.9969,female
Lauralei,0,1,female
Laurel,0.0206,0.9794,female
Lauren,0.0098,0.9902,female
Laurence,0.9933,0.0067,male
Laurent,1,0,male
Laurie,0.0071,0.9929,female
Lawrence,0.9953,0.0047,male
Layne,0.6896,0.3104,male
Layton,0.9636,0.0364,male
Leah,0.0024,0.9976,female
LeAnn,3e-4,0.9997,female
Leann,3e-4,0.9997,female
Leanna,3e-4,0.9997,female
LeAnna,3e-4,0.9997,female
LeAnne,0,1,female
Lech,1,0,male
Lee,0.7632,0.2368,male
LeeAnn,0,1,female
Leela,0,1,female
Lei,0.023,0.977,female
Leigh,0.0924,0.9076,female
Leighann,0,1,female
Leila,3e-4,0.9997,female
Leon,0.9929,0.0071,male
Leonard,0.995,0.005,male
Leroy,0.9936,0.0064,male
Les,0.9893,0.0107,male
Lesley,0.1017,0.8983,female
Lesli,0,1,female
Leslie,0.2259,0.7741,female
Leticia,0.0051,0.9949,female
Lewis,0.9937,0.0063,male
Lia,0.0012,0.9988,female
Libby,5e-4,0.9995,female
Liddy,0,1,female
Lila,0.001,0.999,female
Lilian,0,1,female
Lillee,0,1,female
Lilly,8e-4,0.9992,female
Lincoln,0.9879,0.0121,male
Linda,0.0025,0.9975,female
Lindsay,0.0294,0.9706,female
Lindsey,0.0368,0.9632,female
Ling,0.1006,0.8994,female
Linwood,1,0,male
Lisa,0.0027,0.9973,female
Lisbeth,0,1,female
Lissa,0,1,female
Liza,0.001,0.999,female
Lizbeth,0.0017,0.9983,female
Lizz,0,1,female
Lizzet,0,1,female
Lloyd,0.9946,0.0054,male
Logan,0.9055,0.0945,male
Lois,0.0058,0.9942,female
Loren,0.7486,0.2514,male
Lorena,0.0068,0.9932,female
Lorene,0.0017,0.9983,female
Lorenzo,0.9929,0.0071,male
Loretta,0.0028,0.9972,female
Lori,0.0024,0.9976,female
Lorien,0,1,female
Lorinda,0,1,female
Lorri,0,1,female
Louis,0.9934,0.0066,male
Louisa,0,1,female
Love,0.2282,0.7718,female
Lowell,0.9951,0.0049,male
Luanne,0,1,female
Lucas,0.9971,0.0029,male
Lucia,0.0038,0.9962,female
Lucinda,4e-4,0.9996,female
Luis,0.9929,0.0071,male
Luisa,0.0038,0.9962,female
Luiz,1,0,male
Luke,0.9969,0.0031,male
Lydia,0.0022,0.9978,female
Lynette,0.0012,0.9988,female
Lynn,0.184,0.816,female
Lynne,0.0058,0.9942,female
Machelle,0,1,female
Mackenzie,0.0781,0.9219,female
Maddison,0.0043,0.9957,female
Maddy,0,1,female
Madeline,0.0015,0.9985,female
Madison,0.022,0.978,female
Maeve,0,1,female
Maggie,0.0015,0.9985,female
Maha,0,1,female
Maher,1,0,male
Maia,0,1,female
Maile,0,1,female
Maizy,0,1,female
Majeed,1,0,male
Malcolm,0.998,0.002,male
Malgorzata,0,1,female
Malinda,0,1,female
Mallory,0.0219,0.9781,female
Manmeet,0.404,0.596,female
Manoj,1,0,male
Manuel,0.9923,0.0077,male
Manuela,0,1,female
Marc,0.9958,0.0042,male
Marceline,0,1,female
Marcella,0.003,0.997,female
Marcelo,1,0,male
Marcey,0,1,female
Marci,8e-4,0.9992,female
Marcia,0.0021,0.9979,female
Marcianne,0,1,female
